"","YR","MO","DY","HR","LAT","LON","IT","AT","SI","SST"
"291",2006,4,26,0,-1980,66,0,264,3,271
"292",2006,4,26,300,-1960,66,0,264,3,269
"293",2006,4,26,300,-1960,66,0,264,3,269
"294",2006,4,26,600,-1970,66,0,270,3,270
"295",2006,4,26,600,-1970,66,0,270,3,270
"296",2006,4,26,900,-1950,66,0,269,3,271
"297",2006,4,26,900,-1950,66,0,269,3,271
"298",2006,4,26,1500,-1950,66,0,270,3,271
"299",2006,4,26,1500,-1950,66,0,270,3,271
"300",2006,4,26,1800,-1940,67,0,268,3,270
"301",2006,4,26,1800,-1940,67,0,268,3,270
"302",2006,4,26,2100,-1970,67,0,266,3,270
"303",2006,4,26,2100,-1970,67,0,266,3,270
"304",2006,10,8,0,-1960,68,0,218,3,238
"305",2006,10,9,0,-1950,66,0,209,3,239
"306",2006,10,9,600,-1900,64,0,230,3,247
"307",2006,10,9,1200,-1850,62,0,278,3,246
"308",2006,11,23,600,-1940,60,0,285,3,245
"309",2006,11,24,1200,-1820,60,0,275,3,275
"310",2006,11,24,1800,-1870,62,0,265,3,255
"311",2006,11,25,0,-1920,64,0,257,3,275
"312",2006,11,25,600,-1970,66,0,270,3,275
"313",2006,11,27,0,-1910,69,0,250,3,275
"314",2006,12,16,1200,230,63,0,302,1,279
"315",2006,12,18,0,-470,58,0,271,1,294
"316",2006,12,19,0,-940,54,0,272,1,290
"317",2006,12,19,1200,-1190,53,0,257,1,297
"318",2006,12,20,0,-1490,53,0,279,1,291
"319",2006,12,20,1200,-1770,52,0,303,1,298
"320",2006,12,20,1800,-1880,51,0,291,1,291
"321",2006,12,23,1200,-1940,69,0,320,3,275
"322",2007,2,2,1800,-1830,50,0,288,1,260
"323",2007,2,3,0,-1700,51,0,282,1,295
"324",2007,2,3,600,-1560,52,0,295,0,295
"325",2007,2,3,1800,-1260,52,0,280,1,280
"326",2007,2,4,0,-1120,52,0,272,1,290
"327",2007,2,4,600,-980,53,0,288,1,295
"328",2007,2,4,1200,-850,54,0,309,1,295
"329",2007,2,4,1800,-720,55,0,287,1,298
"330",2007,2,5,600,-470,56,0,294,1,294
"331",2007,2,5,1200,-350,57,0,296,1,288
"332",2007,2,5,1800,-230,58,0,280,1,289
"333",2007,2,12,1200,-1860,69,0,305,3,300
"334",2007,4,1,1800,-590,66,0,282,1,300
"335",2007,7,30,600,-350,60,0,270,1,277
"336",2007,7,31,600,-840,55,0,260,1,263
"337",2007,8,1,600,-1360,54,0,260,1,263
"338",2007,8,1,1800,-1640,53,0,240,1,263
"339",2007,8,2,600,-1910,51,0,235,1,267
"340",2007,9,26,600,-1930,50,0,240,NA,NA
"341",2007,9,26,1800,-1770,52,0,240,NA,NA
"342",2007,9,29,600,-800,56,0,260,NA,NA
"343",2007,10,1,600,10,58,0,300,NA,NA
"344",2007,12,5,600,-1970,68,0,262,3,255
"345",2007,12,22,1800,-1930,69,0,280,3,261
"346",2008,2,28,600,-400,69,0,290,7,280
"347",2008,2,1,600,-1950,66,0,281,3,275
"348",2008,2,10,600,-1840,67,0,284,3,280
"349",2008,7,16,1800,270,69,0,290,7,300
"350",2008,10,28,1800,-1950,68,0,240,3,243
"351",2008,10,28,1800,-1950,68,0,240,3,243
"352",2008,10,4,600,-1960,69,0,236,1,249
"353",2009,2,6,1500,180,69,0,275,1,284
"354",2009,2,6,1800,140,69,0,274,1,283
"355",2009,2,7,0,60,69,0,275,1,284
"356",2009,2,7,300,20,68,0,277,1,284
"357",2009,2,7,600,-10,68,0,281,1,284
"358",2009,2,7,1500,150,67,0,282,1,287
"359",2009,2,7,1800,-200,67,0,281,1,286
"360",2009,2,8,0,-290,66,0,274,1,282
"361",2009,2,8,300,-340,66,0,275,1,281
"362",2009,2,8,600,-380,66,0,279,1,284
"363",2009,2,10,1500,-460,66,0,283,NA,NA
